USEast 52.23.232.42
AsiaSouthEast 52.77.221.237
USSouth 52.91.68.60
USSouthWest 54.183.179.205
USEast2 52.91.203.118
USNorthWest 54.234.151.78
AsiaEast 54.199.197.208
EUSouthWest 52.47.178.13
USSouth2 54.183.236.213
EUNorth2 52.59.198.155
EUSouth 52.47.150.186
USSouth3 13.57.182.96
EUWest2 34.243.37.98
USMidWest 18.220.226.127
EUWest 52.47.149.74
USEast3 54.157.6.58
USWest 13.57.254.131
USWest3 54.67.119.179
USMidWest2 18.218.255.91
EUEast 18.195.167.79
Australia 54.252.165.65
EUNorth 54.93.78.148
USWest2 54.215.251.128
